metric,value,step
Train/Offset_Loss/Epoch,1719.6458740234375,0.0
Train/Offset_Loss/Epoch,1328.92626953125,1.0
Train/Offset_Loss/Epoch,1273.277099609375,2.0
Train/Offset_Loss/Epoch,1246.0567626953125,3.0
Train/Offset_Loss/Epoch,1221.422119140625,4.0
Train/Offset_Loss/Epoch,1208.216064453125,5.0
Train/Offset_Loss/Epoch,1194.51220703125,6.0
Train/Offset_Loss/Epoch,1181.5494384765625,7.0
Train/Offset_Loss/Epoch,1172.004638671875,8.0
Train/Offset_Loss/Epoch,1162.1217041015625,9.0
Train/Offset_Loss/Epoch,1153.0654296875,10.0
Train/Offset_Loss/Epoch,1145.7203369140625,11.0
Train/Offset_Loss/Epoch,1138.238525390625,12.0
Train/Offset_Loss/Epoch,1133.019287109375,13.0
Train/Offset_Loss/Epoch,1128.34375,14.0
Train/Offset_Loss/Epoch,1122.7152099609375,15.0
Train/Offset_Loss/Epoch,1117.0589599609375,16.0
Train/Offset_Loss/Epoch,1115.0655517578125,17.0
Train/Offset_Loss/Epoch,1111.5167236328125,18.0
Train/Offset_Loss/Epoch,1111.054931640625,19.0
Train/State_Loss/Epoch,0.2032383531332016,0.0
Train/State_Loss/Epoch,0.15333102643489838,1.0
Train/State_Loss/Epoch,0.14594368636608124,2.0
Train/State_Loss/Epoch,0.14319662749767303,3.0
Train/State_Loss/Epoch,0.1409645974636078,4.0
Train/State_Loss/Epoch,0.13935203850269318,5.0
Train/State_Loss/Epoch,0.13815397024154663,6.0
Train/State_Loss/Epoch,0.13709622621536255,7.0
Train/State_Loss/Epoch,0.13604705035686493,8.0
Train/State_Loss/Epoch,0.1353215128183365,9.0
Train/State_Loss/Epoch,0.1348196417093277,10.0
Train/State_Loss/Epoch,0.13431291282176971,11.0
Train/State_Loss/Epoch,0.13387654721736908,12.0
Train/State_Loss/Epoch,0.1335848867893219,13.0
Train/State_Loss/Epoch,0.13327376544475555,14.0
Train/State_Loss/Epoch,0.13309691846370697,15.0
Train/State_Loss/Epoch,0.13290654122829437,16.0
Train/State_Loss/Epoch,0.1327544003725052,17.0
Train/State_Loss/Epoch,0.132695734500885,18.0
Train/State_Loss/Epoch,0.13267096877098083,19.0
Validation/Offset_Loss/Epoch,1246.39892578125,0.0
Validation/Offset_Loss/Epoch,1172.65869140625,1.0
Validation/Offset_Loss/Epoch,1129.44873046875,2.0
Validation/Offset_Loss/Epoch,1113.948974609375,3.0
Validation/Offset_Loss/Epoch,1087.85400390625,4.0
Validation/Offset_Loss/Epoch,1090.694091796875,5.0
Validation/Offset_Loss/Epoch,1074.48779296875,6.0
Validation/Offset_Loss/Epoch,1064.601318359375,7.0
Validation/Offset_Loss/Epoch,1054.9931640625,8.0
Validation/Offset_Loss/Epoch,1045.7274169921875,9.0
Validation/Offset_Loss/Epoch,1044.14794921875,10.0
