metric,value,step
Train/Offset_Loss/Epoch,1597.5235595703125,0.0
Train/Offset_Loss/Epoch,1282.3616943359375,1.0
Train/Offset_Loss/Epoch,1234.65478515625,2.0
Train/Offset_Loss/Epoch,1201.8123779296875,3.0
Train/Offset_Loss/Epoch,1182.926513671875,4.0
Train/Offset_Loss/Epoch,1177.427490234375,5.0
Train/Offset_Loss/Epoch,1154.705810546875,6.0
Train/Offset_Loss/Epoch,1140.3194580078125,7.0
Train/Offset_Loss/Epoch,1128.468505859375,8.0
Train/Offset_Loss/Epoch,1119.4227294921875,9.0
Train/Offset_Loss/Epoch,1109.2947998046875,10.0
Train/Offset_Loss/Epoch,1100.3946533203125,11.0
Train/Offset_Loss/Epoch,1091.6112060546875,12.0
Train/Offset_Loss/Epoch,1083.5233154296875,13.0
Train/Offset_Loss/Epoch,1074.80078125,14.0
Train/Offset_Loss/Epoch,1066.6043701171875,15.0
Train/Offset_Loss/Epoch,1061.134033203125,16.0
Train/Offset_Loss/Epoch,1055.892333984375,17.0
Train/Offset_Loss/Epoch,1052.6385498046875,18.0
Train/Offset_Loss/Epoch,1051.4154052734375,19.0
Train/State_Loss/Epoch,0.26917174458503723,0.0
Train/State_Loss/Epoch,0.21971139311790466,1.0
Train/State_Loss/Epoch,0.21087004244327545,2.0
Train/State_Loss/Epoch,0.20557385683059692,3.0
Train/State_Loss/Epoch,0.20199425518512726,4.0
Train/State_Loss/Epoch,0.19972212612628937,5.0
Train/State_Loss/Epoch,0.19743530452251434,6.0
Train/State_Loss/Epoch,0.19557687640190125,7.0
Train/State_Loss/Epoch,0.19407066702842712,8.0
Train/State_Loss/Epoch,0.19277022778987885,9.0
Train/State_Loss/Epoch,0.19153369963169098,10.0
Train/State_Loss/Epoch,0.19051513075828552,11.0
Train/State_Loss/Epoch,0.1898128092288971,12.0
Train/State_Loss/Epoch,0.1891193985939026,13.0
Train/State_Loss/Epoch,0.18857596814632416,14.0
Train/State_Loss/Epoch,0.1880345642566681,15.0
Train/State_Loss/Epoch,0.1876956969499588,16.0
Train/State_Loss/Epoch,0.18742847442626953,17.0
Train/State_Loss/Epoch,0.18721389770507812,18.0
Train/State_Loss/Epoch,0.1871788650751114,19.0
Validation/Offset_Loss/Epoch,1246.10888671875,0.0
Validation/Offset_Loss/Epoch,1150.7718505859375,1.0
Validation/Offset_Loss/Epoch,1079.940185546875,2.0
Validation/Offset_Loss/Epoch,1076.3702392578125,3.0
Validation/Offset_Loss/Epoch,1061.1329345703125,4.0
Validation/Offset_Loss/Epoch,1038.8182373046875,5.0
Validation/Offset_Loss/Epoch,1043.8153076171875,6.0
Validation/Offset_Loss/Epoch,1013.197998046875,7.0
Validation/Offset_Loss/Epoch,1007.810546875,8.0
Validation/Offset_Loss/Epoch,1023.18896484375,9.0
Validation/Offset_Loss/Epoch,1001.1929931640625,10.0
Validation/Offset_Loss/Epoch,1012.8796997070312,11.0
Validation/Offset_Loss/Epoch,984.7574462890625,12.0
Validation/Offset_Loss/Epoch,994.2149658203125,13.0
Validation/Offset_Loss/Epoch,987.7676391601562,14.0
Validation/Offset_Loss/Epoch,986.8323364257812,15.0
Validation/Offset_Loss/Epoch,978.9098510742188,16.0
Validation/Offset_Loss/Epoch,983.991943359375,17.0
Validation/Offset_Loss/Epoch,981.2540283203125,18.0
Validation/Offset_Loss/Epoch,979.784912109375,19.0
Validation/State_Loss/Epoch,0.2142098993062973,0.0
Validation/State_Loss/Epoch,0.20150330662727356,1.0
Validation/State_Loss/Epoch,0.1956196278333664,2.0
Validation/State_Loss/Epoch,0.19138789176940918,3.0
Validation/State_Loss/Epoch,0.18723805248737335,4.0
Validation/State_Loss/Epoch,0.18556202948093414,5.0
Validation/State_Loss/Epoch,0.18461401760578156,6.0
Validation/State_Loss/Epoch,0.18236330151557922,7.0
Validation/State_Loss/Epoch,0.18104195594787598,8.0
Validation/State_Loss/Epoch,0.18005894124507904,9.0
Validation/State_Loss/Epoch,0.17840106785297394,10.0
Validation/State_Loss/Epoch,0.17846499383449554,11.0
Validation/State_Loss/Epoch,0.17723384499549866,12.0
Validation/State_Loss/Epoch,0.17722420394420624,13.0
Validation/State_Loss/Epoch,0.17713050544261932,14.0
Validation/State_Loss/Epoch,0.1759805828332901,15.0
