metric,value,step
Train/Offset_Loss/Epoch,1759.98388671875,0.0
Train/Offset_Loss/Epoch,1355.78564453125,1.0
Train/Offset_Loss/Epoch,1306.85791015625,2.0
Train/Offset_Loss/Epoch,1282.4359130859375,3.0
Train/Offset_Loss/Epoch,1261.23095703125,4.0
Train/Offset_Loss/Epoch,1247.4058837890625,5.0
Train/Offset_Loss/Epoch,1234.0609130859375,6.0
Train/Offset_Loss/Epoch,1223.8807373046875,7.0
Train/Offset_Loss/Epoch,1214.3822021484375,8.0
Train/Offset_Loss/Epoch,1208.26123046875,9.0
Train/Offset_Loss/Epoch,1202.36279296875,10.0
Train/Offset_Loss/Epoch,1195.66650390625,11.0
Train/Offset_Loss/Epoch,1190.4539794921875,12.0
Train/Offset_Loss/Epoch,1184.8348388671875,13.0
Train/Offset_Loss/Epoch,1183.388916015625,14.0
Train/Offset_Loss/Epoch,1177.7899169921875,15.0
Train/Offset_Loss/Epoch,1174.855712890625,16.0
Train/Offset_Loss/Epoch,1175.4681396484375,17.0
Train/Offset_Loss/Epoch,1172.5084228515625,18.0
Train/Offset_Loss/Epoch,1171.736328125,19.0
Train/State_Loss/Epoch,0.19560523331165314,0.0
Train/State_Loss/Epoch,0.1492786556482315,1.0
Train/State_Loss/Epoch,0.14257529377937317,2.0
Train/State_Loss/Epoch,0.13941337168216705,3.0
Train/State_Loss/Epoch,0.1376345157623291,4.0
Train/State_Loss/Epoch,0.13626764714717865,5.0
Train/State_Loss/Epoch,0.13492202758789062,6.0
Train/State_Loss/Epoch,0.1339472383260727,7.0
Train/State_Loss/Epoch,0.13316045701503754,8.0
Train/State_Loss/Epoch,0.1325789988040924,9.0
Train/State_Loss/Epoch,0.13200414180755615,10.0
Train/State_Loss/Epoch,0.13155095279216766,11.0
Train/State_Loss/Epoch,0.13105304539203644,12.0
Train/State_Loss/Epoch,0.13077183067798615,13.0
Train/State_Loss/Epoch,0.13054299354553223,14.0
Train/State_Loss/Epoch,0.13031581044197083,15.0
Train/State_Loss/Epoch,0.13008098304271698,16.0
Train/State_Loss/Epoch,0.12994854152202606,17.0
Train/State_Loss/Epoch,0.12988802790641785,18.0
Train/State_Loss/Epoch,0.12983769178390503,19.0
Validation/Offset_Loss/Epoch,1290.46435546875,0.0
Validation/Offset_Loss/Epoch,1203.18994140625,1.0
Validation/Offset_Loss/Epoch,1174.734130859375,2.0
Validation/Offset_Loss/Epoch,1151.1124267578125,3.0
Validation/Offset_Loss/Epoch,1127.2548828125,4.0
Validation/Offset_Loss/Epoch,1115.59228515625,5.0
Validation/Offset_Loss/Epoch,1115.713623046875,6.0
Validation/Offset_Loss/Epoch,1099.0123291015625,7.0
Validation/Offset_Loss/Epoch,1087.0247802734375,8.0
Validation/Offset_Loss/Epoch,1078.84033203125,9.0
Validation/Offset_Loss/Epoch,1075.550048828125,10.0
Validation/Offset_Loss/Epoch,1075.897216796875,11.0
Validation/Offset_Loss/Epoch,1071.9779052734375,12.0
Validation/Offset_Loss/Epoch,1068.3193359375,13.0
Validation/Offset_Loss/Epoch,1063.047119140625,14.0
Validation/Offset_Loss/Epoch,1062.0616455078125,15.0
Validation/Offset_Loss/Epoch,1057.2652587890625,16.0
Validation/Offset_Loss/Epoch,1055.411376953125,17.0
Validation/Offset_Loss/Epoch,1054.1376953125,18.0
Validation/Offset_Loss/Epoch,1056.054443359375,19.0
Validation/State_Loss/Epoch,0.14877428114414215,0.0
Validation/State_Loss/Epoch,0.13675574958324432,1.0
Validation/State_Loss/Epoch,0.13274742662906647,2.0
Validation/State_Loss/Epoch,0.1315622329711914,3.0
Validation/State_Loss/Epoch,0.1286497265100479,4.0
Validation/State_Loss/Epoch,0.12755899131298065,5.0
Validation/State_Loss/Epoch,0.12675541639328003,6.0
Validation/State_Loss/Epoch,0.12626387178897858,7.0
Validation/State_Loss/Epoch,0.12548957765102386,8.0
Validation/State_Loss/Epoch,0.12421360611915588,9.0
Validation/State_Loss/Epoch,0.12385339289903641,10.0
Validation/State_Loss/Epoch,0.12363091111183167,11.0
Validation/State_Loss/Epoch,0.12292462587356567,12.0
Validation/State_Loss/Epoch,0.12272213399410248,13.0
Validation/State_Loss/Epoch,0.12241365015506744,14.0
Validation/State_Loss/Epoch,0.12234871089458466,15.0
Validation/State_Loss/Epoch,0.12207788228988647,16.0
Validation/State_Loss/Epoch,0.12202932685613632,17.0
Validation/State_Loss/Epoch,0.12192397564649582,18.0
Validation/State_Loss/Epoch,0.121888667345047,19.0
Validation/State_Accuracy/Epoch,0.8965960144996643,0.0
Validation/State_Accuracy/Epoch,0.8953164219856262,1.0
Validation/State_Accuracy/Epoch,0.8972358107566833,2.0
Validation/State_Accuracy/Epoch,0.8973714113235474,3.0
Validation/State_Accuracy/Epoch,0.8976225852966309,4.0
Validation/State_Accuracy/Epoch,0.8975521326065063,5.0
Validation/State_Accuracy/Epoch,0.8987268805503845,6.0
Validation/State_Accuracy/Epoch,0.897702157497406,7.0
Validation/State_Accuracy/Epoch,0.8982316851615906,8.0
Validation/State_Accuracy/Epoch,0.9001004695892334,9.0
Validation/State_Accuracy/Epoch,0.9000083208084106,10.0
Validation/State_Accuracy/Epoch,0.9006209969520569,11.0
Validation/State_Accuracy/Epoch,0.8997896313667297,12.0
Validation/State_Accuracy/Epoch,0.8999505043029785,13.0
Validation/State_Accuracy/Epoch,0.9019331336021423,14.0
Validation/State_Accuracy/Epoch,0.9020144939422607,15.0
Validation/State_Accuracy/Epoch,0.901358425617218,16.0
Validation/State_Accuracy/Epoch,0.90083247423172,17.0
Validation/State_Accuracy/Epoch,0.9007854461669922,18.0
Validation/State_Accuracy/Epoch,0.9012156128883362,19.0
