metric,value,step
Train/Offset_Loss/Epoch,1532.4068603515625,0.0
Train/Offset_Loss/Epoch,1282.8956298828125,1.0
Train/Offset_Loss/Epoch,1244.3438720703125,2.0
Train/Offset_Loss/Epoch,1215.120361328125,3.0
Train/Offset_Loss/Epoch,1192.5611572265625,4.0
Train/Offset_Loss/Epoch,1180.138671875,5.0
Train/Offset_Loss/Epoch,1165.171875,6.0
Train/Offset_Loss/Epoch,1151.4241943359375,7.0
Train/Offset_Loss/Epoch,1140.4793701171875,8.0
Train/Offset_Loss/Epoch,1130.2547607421875,9.0
Train/Offset_Loss/Epoch,1120.296875,10.0
Train/Offset_Loss/Epoch,1109.462646484375,11.0
Train/Offset_Loss/Epoch,1101.1978759765625,12.0
Train/Offset_Loss/Epoch,1089.940673828125,13.0
Train/Offset_Loss/Epoch,1081.6282958984375,14.0
Train/Offset_Loss/Epoch,1074.499267578125,15.0
Train/Offset_Loss/Epoch,1067.2445068359375,16.0
Train/Offset_Loss/Epoch,1062.8868408203125,17.0
Train/Offset_Loss/Epoch,1059.247802734375,18.0
Train/Offset_Loss/Epoch,1056.6827392578125,19.0
Train/State_Loss/Epoch,0.16860254108905792,0.0
Train/State_Loss/Epoch,0.14123697578907013,1.0
Train/State_Loss/Epoch,0.137168750166893,2.0
Train/State_Loss/Epoch,0.13446004688739777,3.0
Train/State_Loss/Epoch,0.13235148787498474,4.0
Train/State_Loss/Epoch,0.13108153641223907,5.0
Train/State_Loss/Epoch,0.1299346387386322,6.0
Train/State_Loss/Epoch,0.12873458862304688,7.0
Train/State_Loss/Epoch,0.12800738215446472,8.0
Train/State_Loss/Epoch,0.12719206511974335,9.0
Train/State_Loss/Epoch,0.12674206495285034,10.0
Train/State_Loss/Epoch,0.12610134482383728,11.0
Train/State_Loss/Epoch,0.12571509182453156,12.0
Train/State_Loss/Epoch,0.1253477931022644,13.0
Train/State_Loss/Epoch,0.12501443922519684,14.0
Train/State_Loss/Epoch,0.12473151087760925,15.0
Train/State_Loss/Epoch,0.12454218417406082,16.0
Train/State_Loss/Epoch,0.12437025457620621,17.0
Train/State_Loss/Epoch,0.12424835562705994,18.0
Train/State_Loss/Epoch,0.12423597276210785,19.0
Validation/Offset_Loss/Epoch,1196.3953857421875,0.0
Validation/Offset_Loss/Epoch,1125.308349609375,1.0
Validation/Offset_Loss/Epoch,1112.472900390625,2.0
Validation/Offset_Loss/Epoch,1090.19921875,3.0
Validation/Offset_Loss/Epoch,1060.108642578125,4.0
Validation/Offset_Loss/Epoch,1053.505615234375,5.0
Validation/Offset_Loss/Epoch,1043.954833984375,6.0
Validation/Offset_Loss/Epoch,1035.8790283203125,7.0
Validation/Offset_Loss/Epoch,1022.709716796875,8.0
Validation/Offset_Loss/Epoch,1026.2376708984375,9.0
Validation/Offset_Loss/Epoch,1014.5899658203125,10.0
Validation/Offset_Loss/Epoch,1021.2196655273438,11.0
Validation/Offset_Loss/Epoch,1014.8759765625,12.0
Validation/Offset_Loss/Epoch,1006.8544311523438,13.0
Validation/Offset_Loss/Epoch,1005.6492919921875,14.0
Validation/Offset_Loss/Epoch,1003.7411499023438,15.0
Validation/Offset_Loss/Epoch,1007.4735107421875,16.0
Validation/Offset_Loss/Epoch,1005.6737060546875,17.0
Validation/Offset_Loss/Epoch,1004.6759033203125,18.0
Validation/Offset_Loss/Epoch,1005.8158569335938,19.0
Validation/State_Loss/Epoch,0.13725371658802032,0.0
Validation/State_Loss/Epoch,0.13084223866462708,1.0
Validation/State_Loss/Epoch,0.12759210169315338,2.0
Validation/State_Loss/Epoch,0.12539668381214142,3.0
Validation/State_Loss/Epoch,0.12365548312664032,4.0
Validation/State_Loss/Epoch,0.12276043742895126,5.0
Validation/State_Loss/Epoch,0.12129180878400803,6.0
Validation/State_Loss/Epoch,0.12031872570514679,7.0
Validation/State_Loss/Epoch,0.1197756677865982,8.0
Validation/State_Loss/Epoch,0.11938496679067612,9.0
Validation/State_Loss/Epoch,0.11886020004749298,10.0
Validation/State_Loss/Epoch,0.11801178008317947,11.0
Validation/State_Loss/Epoch,0.1177871972322464,12.0
Validation/State_Loss/Epoch,0.11753277480602264,13.0
Validation/State_Loss/Epoch,0.11704196780920029,14.0
Validation/State_Loss/Epoch,0.1169135645031929,15.0
Validation/State_Loss/Epoch,0.11680975556373596,16.0
Validation/State_Loss/Epoch,0.11671590805053711,17.0
Validation/State_Loss/Epoch,0.11663667857646942,18.0
